,Astrocytes,Endothelial,ExNeurons,InNeurons,Microglia,OPC,Oligodendrocytes,Unknown
Bulk 297,0.21039604175229706,0.16795939629014783,0.021561892251672723,0.5042329823385028,0.044918421201521154,0.0,0.050726179816404586,0.00020508634945376724
Bulk 298,0.26281161586635793,0.18631213504129446,0.028015456581198778,0.3496059773171801,0.04386747625383921,0.007845472068346165,0.12091674298554439,0.0006251238862390703
Bulk 299,0.14780445175073084,0.03391740315491042,0.05245736206585343,0.7344265140175956,0.002746913752361106,0.0,0.028274317024911785,0.0003730382336368474
Bulk 300,0.21268542102495924,0.12591577504852342,0.009678934238406317,0.5664203329687862,0.02473252266980675,0.0,0.06045022462180973,0.00011678942770834336
Bulk 301,0.1451179731141648,0.09039103981750442,0.046964068310254674,0.6149064995176948,0.04215474192868445,0.0,0.05952109294184946,0.0009445843698474268
Bulk 302,0.2280150647982481,0.1451373619689369,0.05081291514562062,0.5120337720176893,0.0044523437607065595,0.0,0.057833529140625894,0.0017150131681726182
Bulk 303,0.17295484644276446,0.07938227156625526,0.06079909069790655,0.6152577970958264,0.04055191822691562,0.0,0.03067159489554558,0.00038248107478616294
Bulk 304,0.20864050148599603,0.09776714126150109,0.03897434922109249,0.5644762258610901,0.030639396140599635,0.0,0.058487147938966956,0.0010152380907535873
Bulk 305,0.22417766621911095,0.18710731350298407,0.0,0.3342171367383884,0.03815254490010759,0.0,0.21232639743819098,0.004018941201218072
Bulk 306,0.24766274372281896,0.14469310158861562,0.0,0.44798296639394275,0.011989652907055628,0.0,0.14402527004995302,0.003646265337613985
Bulk 307,0.1951945038047354,0.08879666979376612,0.026076702327594608,0.6013413358919536,0.050635862320645535,0.0,0.03650023486217774,0.0014546909991270342
Bulk 308,0.3661995082297822,0.1854709655721881,0.0,0.31028068256008645,0.06253074542430184,0.006600033929870034,0.06633120912447861,0.0025868551592929485
Bulk 309,0.27068102232320695,0.20295180589456727,0.03130690790214223,0.32655411372151344,0.07255316884403577,0.004650310883758414,0.08945085762182832,0.0018518128089476996
Bulk 310,0.20153374370335186,0.08384268107931507,0.07608239701515812,0.6049931794116242,0.0030632196941239843,0.0,0.029955566736440016,0.0005292123599867451
Bulk 311,0.12817466825091672,0.13511453840170515,0.10086198607513237,0.573110926049955,0.0,0.006315212439804876,0.053186716198234216,0.0032359525842515853
Bulk 312,0.25779447379971393,0.10175002037451657,0.06089551959739846,0.5054984019364817,0.01641208451572188,0.0,0.05708486689618336,0.0005646328799841951
Bulk 313,0.16051649686777578,0.05959459420144591,0.06036090839086092,0.6880673371905244,0.002591922276355245,0.0,0.028805536397078203,6.320467595971957e-05
Bulk 314,0.2084469911164644,0.13684710718958376,0.03139664517182153,0.5095974175601651,0.024238376002377337,0.0,0.08743386305940684,0.0020395999001810504
Bulk 315,0.21094927575854364,0.10752341944327432,0.04629358124436568,0.5337608011995439,0.05363656755946039,0.0,0.042755937848325154,0.005080416946486892
Bulk 316,0.291810923290582,0.24478791196686447,9.062089258664888e-05,0.27001392603515006,0.0863253229075403,0.0,0.10544064142154087,0.0015306534857354533
Bulk 317,0.17196237702587866,0.1453348158740092,0.02378535156479782,0.5833486833884877,0.0,0.02022736555332326,0.05396992465408982,0.0013714819394134885
Bulk 318,0.19462286372341928,0.09444951307395662,0.029988717458656278,0.6012448143207684,0.018766273672027586,0.0,0.06092781775117191,0.0
Bulk 319,0.2113955637442474,0.12565474489493408,0.055955478715751523,0.5547785200551448,0.02376699838920379,0.0,0.027716926215715622,0.000731767985002983
Bulk 320,0.23032792279896494,0.16712184179150044,0.0326904777170151,0.445726499929499,0.029514524939530624,0.0,0.09324890586387129,0.0013698269596187083
Bulk 321,0.10042449476729683,0.047004559561926555,0.07936263482281608,0.6916922660131798,0.037136304817122816,0.0,0.04437974001765815,0.0
Bulk 322,0.2608732379039056,0.1451076027899998,0.025365036600632537,0.46614761091165985,0.0003266206276293446,0.0,0.10053367367111836,0.0016462174950545787
Bulk 323,0.1753909572144447,0.0769256997281003,0.0632939959811137,0.5244769617806692,0.07281783159179496,0.0,0.08560693822424147,0.0014876154796356546
Bulk 324,0.2256526000769876,0.10936190689394103,0.04804390725413163,0.5445347088110722,0.04485256329793618,0.0,0.026863669422359123,0.0006906442435721782
Bulk 325,0.24724450519276475,0.1197904529228631,0.035846082257569425,0.5209490503437855,0.030206034787542323,0.0,0.04572353240109928,0.0002403420943756725
Bulk 326,0.3109708475736784,0.12518159327343187,0.030842328937069886,0.4620397613021414,0.03096969667749556,0.0,0.03960941407610574,0.00038635816007693603
Bulk 327,0.23301319127884557,0.04967059856634506,0.07558419216974821,0.6159195585563039,0.006436744362264946,0.0,0.01757835652522466,0.0017973585412677487
Bulk 328,0.4403324278194637,0.20107675253033333,0.0,0.2496433410905159,0.027584148164505398,0.0,0.08118468401198127,0.0001786463832004154
Bulk 329,0.2684613638237925,0.1909065615346159,0.019619180068559977,0.409833085261981,0.016377643220914943,0.0,0.09419052660841229,0.0006116394817236039
Bulk 330,0.18292111816816864,0.024154973257091306,0.07217720169871704,0.7045292767190913,0.003775714003997739,0.0,0.012441716152933909,0.0
Bulk 331,0.310617593904573,0.21988637999005192,0.035282913333344594,0.30031899170480986,0.0802356601190097,0.0,0.051447155845516214,0.0022113051026947084
Bulk 332,0.2597466695002493,0.19004651293301322,0.011587651564181475,0.3965629793037768,0.06356221947785408,0.002752712475948855,0.06773735110601772,0.008003903638958372
Bulk 333,0.33130015997698464,0.15671210578915912,0.01469241877647567,0.3191968930989072,0.05302174896619873,0.0,0.12449376299847724,0.0005829103937973238
Bulk 334,0.16594968050575243,0.07024552832893827,0.05357502019599906,0.6617544065964787,0.006608524114894001,0.002176787729740513,0.03955586041232998,0.00013419211586705574
