,baseMean,log2FoldChange,lfcSE,stat,pvalue,FDR
NM_000712,3452.036139,0.153992599,0.106527093,1.445572145,0.148297244,0.394270052
NM_000713,1886.149289,0.177454204,0.122812256,1.444922595,0.148479629,0.394542666
NM_000714,9497.145686,0.06954786,0.106641376,0.652165822,0.514294206,0.748377398
NM_000715,9.372118809,-0.004250827,0.37853248,-0.011229754,0.991040141,0.996168533
NM_000721,2.268958667,-0.374507007,0.301379241,-1.242643671,0.21399917,0.481902167
NM_000723,278.2312204,-0.217551915,0.109042422,-1.995112653,0.046030595,0.204648533
NM_000725,40.43659625,0.183444573,0.338755,0.541525803,0.588145218,0.798104926
NM_000726,12.04618107,-0.303126485,0.259275263,-1.169129987,0.242351264,0.51392048
NM_000732,8671.236052,0.331902868,0.11406219,2.909841263,0.003616124,0.047057798
NM_000733,22258.36105,0.146903832,0.096985896,1.514692738,0.129850234,0.367340167
NM_000734,6770.537509,0.20737145,0.106018746,1.955988515,0.050466507,0.215690846
NM_000740,74.48157621,-0.214925228,0.148050768,-1.451699517,0.146585174,0.392220513
NM_000741,51.91306961,0.046069681,0.167440645,0.275140373,0.783208395,0.909099657
NM_000742,5.037962253,0.296886171,0.332525318,0.892822756,0.371952098,0.641087865
NM_000745,58.73143108,-0.093877142,0.17818531,-0.526851185,0.598296935,0.804253983
NM_000746,15.80771136,-0.597145941,0.331683598,-1.800348114,0.071805688,0.264109628
NM_000747,440.2797248,0.059886715,0.07179626,0.834120252,0.404213224,0.667685349
NM_000754,1875.558785,0.062626786,0.07772105,0.805789242,0.420364382,0.680331071
NM_000755,367.480963,-0.071144347,0.092594342,-0.768344432,0.442282584,0.697402141
NM_000757,282.2259141,0.376965271,0.118448349,3.182528709,0.00145995,0.028790322
NM_000760,6591.255693,-0.208341473,0.144335108,-1.443456656,0.148891874,0.394940263
NM_000761,98.94626338,-0.396671596,0.155206015,-2.555774632,0.010595172,0.086007132
NM_000767,19.65849191,-0.538556049,0.209117693,-2.575372946,0.010013205,0.083426953
NM_000773,22.73681514,-0.576016302,0.224876738,-2.561475709,0.010422853,0.085491122
NM_000775,11.04683731,-0.106575431,0.312260014,-0.341303485,0.732875125,0.882885821
NM_000784,1076.223677,0.132694664,0.216159506,0.613873832,0.539298703,0.765757229
NM_000785,10.83395858,-0.208107871,0.217968636,-0.954760625,0.339698764,0.611585142
NM_000786,703.5788311,0.22091309,0.153901961,1.435414395,0.151169046,0.398565908
NM_000788,5138.31983,0.192234769,0.074779508,2.570687804,0.010149678,0.084128254
NM_000789,175.9891111,0.09738184,0.121420391,0.802022129,0.422540158,0.681808244
NM_000791,1801.363737,0.097859946,0.106448224,0.919319662,0.357928397,0.628127108
NM_000797,7.481183213,0.1242756,0.342285436,0.36307592,0.716548172,0.87380781
NM_000801,12812.02207,0.093407147,0.076552945,1.22016399,0.222402715,0.490730257
NM_000803,207.4942384,0.094653718,0.164341335,0.575958069,0.564643524,0.782059451
NM_000804,960.6734534,0.436261804,0.389832413,1.119100901,0.263097096,0.537320595
NM_000819,1239.237773,-0.031276004,0.162799818,-0.192113259,0.847653489,0.939067658
NM_000820,393.119633,-0.195734866,0.138720717,-1.410999531,0.158244752,0.407954557
NM_000821,215.5585712,-0.417265455,0.177081608,-2.356345525,0.018455742,0.120514566
NM_000825,75.50370398,-0.540106965,0.197672403,-2.732333688,0.006288741,0.063787284
NM_000836,26.38124314,-0.268328674,0.162237054,-1.65392965,0.098141807,0.3163344
NM_000837,524.5920119,-0.099601362,0.154721373,-0.643746628,0.519739749,0.752184004
NM_000839,43.84613227,-0.248408663,0.247615907,-1.003201557,0.315763622,0.591738827
NM_000843,90.93080549,-0.451510178,0.155090453,-2.911269964,0.003599629,0.046939334
NM_000848,371.7708303,-0.680777116,0.148313374,-4.590126297,4.43E-06,0.002338009
NM_000849,236.8890352,-0.073513461,0.144343947,-0.509293687,0.610546382,0.812300516
NM_000850,432.0865678,0.200838041,0.163615095,1.227503128,0.219633547,0.487538101
NM_000851,8.442711442,-0.126305865,0.341246224,-0.370131173,0.711284756,0.870760118
NM_000852,9292.505451,0.007487471,0.065270793,0.114713963,0.908671846,0.965068688
NM_000856,35.16543686,-0.309230589,0.307492705,-1.00565179,0.314583101,0.590626657
NM_000857,264.4322406,-0.006429727,0.221457045,-0.029033742,0.97683768,0.991339921
NM_000858,1571.394055,0.117685543,0.090070213,1.30659781,0.191349341,0.453016588
NM_000859,1105.360996,0.127588424,0.122735661,1.039538332,0.29855444,0.574375634
NM_000860,252.1385784,0.611939556,0.235646983,2.596848675,0.009408336,0.080519709
NM_000864,9.629486864,-0.6006663,0.334520554,-1.795603567,0.072557588,0.265807185
NM_000871,26.23411352,-0.4030564,0.313042567,-1.287545026,0.197904386,0.461772451
NM_000872,35.41613815,0.005646226,0.299625012,0.018844309,0.984965307,0.994370237
NM_000873,94.54877171,-0.669663372,0.278321587,-2.406077725,0.016124834,0.111488432
NM_000874,271.2636061,-0.039166583,0.244290498,-0.160327902,0.872622781,0.949745709
NM_000875,401.9737796,-0.287796329,0.152609801,-1.885831236,0.0593177,0.236751546
NM_000876,11015.05508,0.21929975,0.073151145,2.997899075,0.002718477,0.040080731
NM_000877,31.13889559,-0.267698342,0.389448014,-0.687378886,0.491843999,0.732823886
NM_000878,13251.65672,0.187218353,0.100766207,1.8579478,0.063176427,0.245720419
NM_000880,60.47695482,0.749783659,0.295225453,2.539698561,0.011094805,0.088362468
NM_000882,121.2383895,-0.016893126,0.133739101,-0.126314038,0.899483344,0.96138154
NM_000883,100.4918779,-0.189310701,0.194543245,-0.973103439,0.330501895,0.603639775
NM_000884,2241.975184,-0.068587397,0.061986505,-1.106489182,0.268514844,0.542661988
NM_000885,27346.64602,0.19673392,0.060835724,3.233855147,0.001221314,0.025912267
NM_000887,8860.076411,-0.339066273,0.115977097,-2.923562354,0.003460509,0.045860363
NM_000889,10832.45684,0.163651383,0.067781389,2.41439996,0.01576115,0.109778984
NM_000890,39.81474764,-0.440978959,0.172336701,-2.558822102,0.010502747,0.085820818
NM_000891,81.60738221,-0.486600057,0.227397037,-2.13986982,0.032365289,0.167062076
NM_000892,24.032418,-0.529581087,0.308541411,-1.716401976,0.086088495,0.29389212
NM_000895,11826.57301,-0.034094379,0.133484236,-0.25541877,0.798399675,0.916355994
NM_000898,8.657883909,-0.115109746,0.352440803,-0.326607318,0.743964908,0.888754652
NM_000900,5.722027267,-0.304829013,0.345217605,-0.883005409,0.377233349,0.645180197
NM_000901,515.8774836,-0.364385494,0.168642947,-2.160692172,0.030719126,0.161554485
