Mixture,Bcells,Monocytes,CD4Tcells,CD8Tcells,NK,Dendritics,P-value,Correlation,RMSE
lnc_40,0.0995071719935358,0.339574061134976,0.251527344531283,0.198927869866151,0.0280700867093961,0.0823934657646584,0,0.361854034646271,1.00320438786046
lnc_41,0.161546863953939,0.170128614082575,0.323842121614299,0.173807148710981,0.0657742819744579,0.104900969663747,0,0.440391762089833,0.899694464577656
lnc_44,0.189570453962523,0.513867353681713,0.0615627770294459,0.11009189994255,0.0635810241714014,0.0613264912123666,0,0.451622499216802,1.06313944654603
lnc_45,0.202401450345534,0.203357328114815,0.305263246580047,0.189711768915468,0,0.0992662060441365,0,0.560786790230972,0.827927138487743
lnc_46,0.197063692032242,0.0749632307206521,0.23354481306533,0.225842178666888,0.154429239252373,0.114156846262514,0,0.462320123828653,0.887467142987855
lnc_47,0.133115675785715,0.263841045633111,0.263192141040108,0.13962686334808,0.0674287463200808,0.132795527872905,0,0.353919241827997,0.973334067800076
lnc_5,0.180621194047007,0.15982538154658,0.345545044376367,0.139400578832084,0.0823242285085525,0.0922835726894095,0,0.329917265565444,0.958108568800198
lnc_6,0.250567431033261,0.192014646347052,0.20957008008844,0.14508444383996,0.125125940019283,0.0776374586720043,0,0.297425446882566,0.993398644377177
lnc_7,0.0423699961893566,0.206913741678973,0.350688394731295,0.232675298213727,0.057300969604945,0.110051599581703,0,0.410998792120292,0.918487987879182
lnc_8,0.054044705518643,0.218106936272875,0.382522276340689,0.183198967722563,0.0693001291095342,0.0928269850356955,0,0.305981316391541,0.980193745661106
lnc_9,0.0616072447812429,0.228758892714264,0.320615411641457,0.258154131784285,0.0391809008498759,0.0916834182288752,0,0.438460218106589,0.906553640533211
