"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PIK3CG",1742.84527065298,0.451956971469193,0.103450762319965,4.3688123831444,1.24924029242817e-05,0.00338209302791567
"CRIP3",54.5650342750762,-0.885627763720029,0.20301196654051,-4.3624411841915,1.28619169919647e-05,0.00338209302791567
"ZNF512B",719.645972572827,-0.406386382530544,0.0932322593920587,-4.35886017544223,1.30741609141776e-05,0.00338209302791567
"CASP2",939.98152487296,-0.403939832165566,0.0926983303914544,-4.35757397635723,1.31512054643823e-05,0.00338209302791567
"SLIT1",36.4860472904368,-0.633473578113752,0.145574674569683,-4.35153696881886,1.35186521549046e-05,0.00341220794206202
"ARHGEF18",263.088510001801,-0.845077410980242,0.194700550390364,-4.3403955935713,1.42226434125642e-05,0.00352462963115001
"CCDC154",55.3299950639428,-1.16167352819231,0.268419228309726,-4.32783275441009,1.50583741696121e-05,0.00366510071306809
"MBD6",3486.01577649004,-0.266834915390473,0.0619054511139833,-4.31036218279331,1.62987380737791e-05,0.00389739999904576
"AHSP",36.4495290680805,3.30135846013237,0.767791863136994,4.29980912619195,1.70945277000043e-05,0.00395181109895668
"GGT7",387.706354054809,-0.498971578411395,0.116049119258325,-4.29965846876171,1.7106152225858e-05,0.00395181109895668
"NPIPB5",3651.32028269895,-0.740123844801277,0.172303141414668,-4.29547504894342,1.74319643701822e-05,0.00395996123942638
"MYH3",120.670642107763,-0.746570367185336,0.174447078349655,-4.27963812434243,1.87197433956346e-05,0.00418278856528688
"IGFL2",18.503394531781,1.51658441115992,0.3559284750012,4.26092464547773,2.03582871665539e-05,0.00445565216334264
"TRMT1",1236.17292226864,-0.487627989604023,0.114511189424755,-4.25834359116882,2.05947238657804e-05,0.00445565216334264
"TMX4",8098.57864380251,0.318462557705868,0.0749384158367434,4.24965692362182,2.14098177051629e-05,0.00451290713470924
"PTCD3",2720.48162799931,-0.412012645614596,0.0969785941080262,-4.24849060149963,2.1521567406904e-05,0.00451290713470924
"LRRC56",145.639157922778,-0.455945983165792,0.107526464689775,-4.24031408901281,2.23207238149607e-05,0.00460956766057445
"GPC2",59.3176493000545,-0.993606306401283,0.234703875443485,-4.23344652713473,2.30136921414294e-05,0.00468174065504005
"SGSM2",1147.16116071808,-0.667062468889603,0.157869943648301,-4.22539245580318,2.38524717192729e-05,0.00469895514462615
"VPS26B",5101.67606021388,0.228677856759173,0.0542103341047132,4.21834435326401,2.4610276685971e-05,0.00469895514462615
"ERVV.1",76.6048096892792,-0.71856468769709,0.170629164227234,-4.21126535402909,2.53944239026837e-05,0.00469895514462615
"RCN3",162.141325413824,-0.836976452709299,0.19908245519468,-4.20416983450818,2.62042132127756e-05,0.00469895514462615
"AGAP6",630.806088781152,-0.643742797958293,0.153179463283929,-4.20253984546916,2.63936770901006e-05,0.00469895514462615
"IER3IP1",2004.72885291298,0.280426664575818,0.0668045109296181,4.1977204933251,2.69615105088832e-05,0.00469895514462615
"SEC24C",1107.9042483013,-0.518939818339077,0.123635391490872,-4.1973403576547,2.70067903265143e-05,0.00469895514462615
"CCL22",64.5725479851946,-0.733208429835177,0.175175421226419,-4.18556681469305,2.84455378023741e-05,0.00469895514462615
"PGGHG",3939.40730151121,-0.98187778711848,0.234683674680883,-4.18383506417143,2.86632106096884e-05,0.00469895514462615
"CCDC17",17.9530986409901,-0.9457159358475,0.22609950904452,-4.18274210255486,2.88014047391423e-05,0.00469895514462615
"NDUFB4",240.863485872054,-0.825306007245369,0.197328648765442,-4.18239324299221,2.88456477442926e-05,0.00469895514462615
"ACAD11",492.769224841774,-0.653197330556644,0.15620109643253,-4.18177173832316,2.89246282165955e-05,0.00469895514462615
"EID1",6783.3844038919,0.255267540715402,0.0610507127270716,4.18123768442443,2.89926596642943e-05,0.00469895514462615
"HBD",468.837655699822,1.93071085979375,0.461966896485019,4.17932729484301,2.92372654935101e-05,0.00469895514462615
