,CellType,Method,DataType,MissingCell,CCC,L1error
74,monocyte,MuSiC,counts2umi,lpb,0.6659180746664995,0.07547848502889118
75,macrophage,MuSiC,counts2umi,lpb,0.7042954270242255,0.06937563994515589
76,basophil,MuSiC,counts2umi,lpb,0.9125861328349171,0.032561913313387404
77,Bcell_sum,MuSiC,counts2umi,lpb,0.6907579726001739,0.09612109565878958
78,hematopoietic precursor cell,MuSiC,umi2counts,lpb,0.02471090217225072,0.141271508566594
79,granulocyte,MuSiC,umi2counts,lpb,0.7362406795685773,0.06508516753706668
80,monocyte,MuSiC,umi2counts,lpb,0.3452943586076141,0.23516773695155224
81,macrophage,MuSiC,umi2counts,lpb,0.2346867767709785,0.22158027414120088
82,basophil,MuSiC,umi2counts,lpb,0.8056917683654227,0.0634736361105607
83,Bcell_sum,MuSiC,umi2counts,lpb,0.0322655214230008,0.26723898046288846
84,hematopoietic precursor cell,MuSiC,counts2umi,ib,0.5182540234101883,0.13842744173535787
85,granulocyte,MuSiC,counts2umi,ib,0.8500867701011816,0.05629626031977474
86,monocyte,MuSiC,counts2umi,ib,0.7071737919253182,0.06964763695001423
87,macrophage,MuSiC,counts2umi,ib,0.7144845651540727,0.07395922737377549
88,basophil,MuSiC,counts2umi,ib,0.8512238920358818,0.045995933082038004
89,Bcell_sum,MuSiC,counts2umi,ib,0.6904618489910481,0.0917005515849557
90,hematopoietic precursor cell,MuSiC,umi2counts,ib,0.003488218892610081,0.14366725475664255
91,granulocyte,MuSiC,umi2counts,ib,0.7345234966511807,0.06486349259109597
92,monocyte,MuSiC,umi2counts,ib,0.359407380665379,0.2301716781436858
93,macrophage,MuSiC,umi2counts,ib,0.2926061711870957,0.20009716908780883
94,basophil,MuSiC,umi2counts,ib,0.8627420066102903,0.05046963029350668
95,Bcell_sum,MuSiC,umi2counts,ib,0.1470125415608634,0.2175798906287506
96,basophil,TAPE,counts2umi,lpb,0.5992026752938825,0.06409033652730463
97,granulocyte,TAPE,counts2umi,lpb,0.7033180527801082,0.06669383578739839
98,hematopoietic precursor cell,TAPE,counts2umi,lpb,0.7512606538474369,0.04797597221804934
99,macrophage,TAPE,counts2umi,lpb,0.7247153424893769,0.05921088921801339
100,monocyte,TAPE,counts2umi,lpb,0.6836960568334455,0.07876247938702421
101,Bcell_sum,TAPE,counts2umi,lpb,0.5757213374539496,0.1053606017046187
102,basophil,TAPE,umi2counts,lpb,0.6324211007272181,0.06402627743782864
103,granulocyte,TAPE,umi2counts,lpb,0.85780194939005,0.04485062562746307
104,hematopoietic precursor cell,TAPE,umi2counts,lpb,0.5075042277638879,0.09006029097498064
105,macrophage,TAPE,umi2counts,lpb,0.7787120805560726,0.060888936235256166
106,monocyte,TAPE,umi2counts,lpb,0.8607737086813609,0.040228270596731584
107,Bcell_sum,TAPE,umi2counts,lpb,0.620991312806901,0.08251612391954476
108,basophil,TAPE,counts2umi,ib,0.5623415687002926,0.06736257498115662
109,granulocyte,TAPE,counts2umi,ib,0.5842744937162303,0.09062429744511279
110,hematopoietic precursor cell,TAPE,counts2umi,ib,0.7914179221647176,0.04623693673144094
111,macrophage,TAPE,counts2umi,ib,0.7319697911111616,0.05421070260874914
112,monocyte,TAPE,counts2umi,ib,0.7174825896301465,0.07191550108316182
113,Bcell_sum,TAPE,counts2umi,ib,0.5499834312016649,0.1100407704699948
114,basophil,TAPE,umi2counts,ib,0.678754089039974,0.060685742984708864
115,granulocyte,TAPE,umi2counts,ib,0.8608769359591054,0.04531433930784507
116,hematopoietic precursor cell,TAPE,umi2counts,ib,0.6662998163409277,0.06196745338627342
117,macrophage,TAPE,umi2counts,ib,0.7512583312444304,0.06640262273536746
118,monocyte,TAPE,umi2counts,ib,0.8281506444602625,0.06261347050309846
119,Bcell_sum,TAPE,umi2counts,ib,0.639217087731413,0.08913443625340318
120,basophil,RNAsieve,counts2umi,lpb,-0.01283000366976816,0.10040375765892325
121,granulocyte,RNAsieve,counts2umi,lpb,0.04128805307510485,0.09365923523182282
122,hematopoietic precursor cell,RNAsieve,counts2umi,lpb,-0.030780485605456414,0.26780037198814005
123,macrophage,RNAsieve,counts2umi,lpb,-0.02542714943214439,0.11497920963461793
124,monocyte,RNAsieve,counts2umi,lpb,0.03793269347681882,0.10896227575285682
125,Bcell_sum,RNAsieve,counts2umi,lpb,-0.01679632221451993,0.1851982484462398
126,basophil,RNAsieve,umi2counts,lpb,-0.0675639443609261,0.14766048392949663
127,granulocyte,RNAsieve,umi2counts,lpb,-0.027688996791698915,0.13842943089193283
128,hematopoietic precursor cell,RNAsieve,umi2counts,lpb,0.026781092685300177,0.29052209822176644
129,macrophage,RNAsieve,umi2counts,lpb,0.028618978548266588,0.14945976432239275
130,monocyte,RNAsieve,umi2counts,lpb,-0.16515260241122284,0.11946194910556322
131,Bcell_sum,RNAsieve,umi2counts,lpb,0.03721732761703895,0.18820940265757113
132,basophil,RNAsieve,counts2umi,ib,-0.02572711758311503,0.10154075882425272
133,granulocyte,RNAsieve,counts2umi,ib,-0.010666971026913354,0.09510668436590379
134,hematopoietic precursor cell,RNAsieve,counts2umi,ib,-0.02229966623426376,0.22231102829000393
135,macrophage,RNAsieve,counts2umi,ib,-0.03246909179565488,0.1200069134287341
136,monocyte,RNAsieve,counts2umi,ib,-0.04962249567145217,0.10451707385024585
137,Bcell_sum,RNAsieve,counts2umi,ib,-0.020753579989155477,0.18282855887817523
