"InNeurons","Astrocytes","Oligodendrocytes","Endothelial","ExNeurons","OPC","Microglia","Unknown"
"X142_120419.Salmon.count.data",0.350684698235758,0.387475188299627,0.0432167170202637,0.184250044160952,0,0,0.0343733522834007,0
"X145_120419.Salmon.count.data",0.285932473624918,0.376790282036621,0.028107641454128,0.183095340090269,0,0,0.126074262794065,0
"X146_120419.Salmon.count.data",0.291228941387686,0.52757648573453,0.0513467431968137,0.124407977372386,0,0,0.00543985230858508,0
"X149_120419.Salmon.count.data",0.355693313112714,0.216626119086685,0.0929760790841361,0.253261411261438,0,0,0.0814430774550261,0
"X150_120419_0_merged.Salmon.count.data",0.439416238981148,0.261274305895114,0.0299887097830761,0.241616118681997,0,0,0.0277046266586639,0
"X150_120419.Salmon.count.data",0.430500942278001,0.269982592929885,0.0282791636140107,0.246287573629712,0,0,0.0249497275483913,0
"X15_120410.Salmon.count.data",0.547267658428056,0.159250399166594,0.0237198112604489,0.189548194570536,0,0,0.0802139365743659,0
"X152_120419.Salmon.count.data",0.066839036174513,0.534466570952153,0.081020802005267,0.240575085021594,0,0,0.0770985058464737,0
"X153_120423.Salmon.count.data",0.259574830929874,0.443916838650857,0.0991643612646282,0.173360048225591,0,0,0.0239839209290502,0
"X154_120423.Salmon.count.data",0.286559177203598,0.400595913809252,0.0573908432442779,0.224654705477135,0,0,0.0307993602657367,0
"X155_120423.Salmon.count.data",0.286393152903201,0.403588649181521,0.0354165244189287,0.236215379897115,0,0,0.0383862935992345,0
"X158_120423.Salmon.count.data",0.453758087427617,0.269247441544631,0.0832022384946672,0.172459017875894,0,0,0.0213332146571914,0
"X159_120423.Salmon.count.data",0.246286473817812,0.431445987109728,0.0979262138914086,0.200800823811508,0,0,0.0235405013695433,0
"X160_120423.Salmon.count.data",0.306367897546195,0.339786987735342,0.0399044307451009,0.261079858384786,0,0,0.0528608255885762,0
"X162_120423.Salmon.count.data",0.483815860470243,0.307939016638177,0.0551444927436124,0.139547239064643,0,0,0.0135533910833255,0
"X164_120423.Salmon.count.data",0.406871457054494,0.32769629735527,0.0173782291465828,0.225174468222141,0,0,0.0228795482215126,0
"X165_120423.Salmon.count.data",0.486124022306789,0.13185437421529,0.0886127881672704,0.14429763829351,0.102747051002248,0,0.046364126014893,0
"X166_120423.Salmon.count.data",0.438493678214252,0.229539589163759,0.0518795870359316,0.198066413709547,0,0,0.0814444931600258,0.000576238716484592
"X168_120423.Salmon.count.data",0.449230572686371,0.284150468520405,0.0944692104977388,0.170763697638889,0,0,0.00138605065659684,0
"X170_120423.Salmon.count.data",0.53625082131742,0.190430500407478,0.000627221339032382,0.198387535225566,0,0,0.0742343716376002,6.95500729035892e-05
"X171_120423.Salmon.count.data",0.599300630361978,0.118169684793913,0.0820981972206214,0.168718635716472,0,0,0.0305196972664284,0.00119315464058743
"X173_120424.Salmon.count.data",0.306342487638219,0.356002907510006,0.0160241060819229,0.252850762393254,0,0,0.0687797363765976,0
