,CellType,Method,Dataset,CCC,L1error
53,Neurons,MuSiC,ROSMAPh,0.22256924361830935,0.10068016463607382
54,Oligodendrocytes,MuSiC,ROSMAPh,0.14241004089578077,0.07350023842406023
55,Astrocytes,MuSiC,ROSMAPm,0.008649902593525263,0.1344056272586414
56,Endothelial,MuSiC,ROSMAPm,0.015481512437737165,0.049033933377644084
57,Microglia,MuSiC,ROSMAPm,-0.014728226304350982,0.06335103411157114
58,Neurons,MuSiC,ROSMAPm,0.025948243205144862,0.27089172333112355
59,Oligodendrocytes,MuSiC,ROSMAPm,0.09373695708681258,0.08448911991438636
60,Astrocytes,TAPE,ROSMAPh,0.21303197601144064,0.027765978402507583
61,Endothelial,TAPE,ROSMAPh,-0.003644350319158575,0.02837938442679451
62,Neurons,TAPE,ROSMAPh,0.23241183726792436,0.06927834799980777
63,Oligodendrocytes,TAPE,ROSMAPh,0.10042005938051196,0.03957147477127085
64,Microglia,TAPE,ROSMAPh,0.14044390872987744,0.0298810005520346
65,Astrocytes,TAPE,ROSMAPm,0.20191058386893115,0.04440118002694391
66,Endothelial,TAPE,ROSMAPm,0.03488024670264445,0.06489073156139706
67,Neurons,TAPE,ROSMAPm,0.3894572698430964,0.05450568679964364
68,Oligodendrocytes,TAPE,ROSMAPm,0.06520263942199986,0.0327271484434682
69,Microglia,TAPE,ROSMAPm,0.23848901006384762,0.030430636881178613
