,Astrocytes,Endothelial,Microglia,Neurons,Oligodendrocytes
437_120507,0.15182845,0.10410887,0.05438991,0.34831524,0.11322974
438_120507,0.14257744,0.12945262,0.06637806,0.35919374,0.08972683
440_120507,0.18577263,0.12155329,0.050899982,0.29544225,0.10586151
44_120416,0.19303209,0.11746633,0.050796583,0.32204613,0.09427369
443_120507,0.16506246,0.109343335,0.057991333,0.3015157,0.11376366
444_120507,0.17881107,0.111745775,0.06450604,0.2624826,0.12983638
445_120507,0.19733062,0.114319235,0.061222784,0.22073653,0.1453361
448_120507,0.17294656,0.1236189,0.06417173,0.27542526,0.12308433
449_120507,0.18858325,0.09952061,0.053128265,0.33192766,0.07577347
450_120507,0.19317257,0.12255951,0.07610357,0.27049547,0.12165862
451_120507,0.18877187,0.110111766,0.07501924,0.28761232,0.08297682
45_120416,0.194073,0.09699651,0.06995361,0.28966796,0.12449106
452_120507,0.14652929,0.1144014,0.06577298,0.32885572,0.11383031
453_120507,0.15626554,0.12349193,0.08844473,0.28159022,0.13454108
456_120507,0.17491011,0.1178086,0.05623565,0.26713333,0.14249453
458_120507,0.18848054,0.103691146,0.071044445,0.26079735,0.13189821
459_120514,0.19202903,0.099993706,0.069598675,0.24197456,0.13874315
460_120514,0.16969359,0.11460527,0.072233245,0.29415485,0.120215625
461_120514,0.15701416,0.122653246,0.07518722,0.3055603,0.119002655
46_120416,0.14472072,0.105690174,0.05611354,0.35550267,0.11877447
462_120514,0.15455675,0.14289749,0.057401806,0.29479676,0.122691296
463_120514,0.16074155,0.11684831,0.062951475,0.25936732,0.137754
464_120514,0.20182353,0.12807998,0.062294826,0.1858075,0.14081463
466_120514,0.15867345,0.12379953,0.054427043,0.3182683,0.09504798
468_120514,0.18241113,0.14691728,0.07111439,0.25045508,0.11618608
469_120514,0.16481838,0.14590314,0.102287404,0.21279393,0.14749086
470_120514,0.14775284,0.10072483,0.033956002,0.39686793,0.0888893
471_120514,0.17425554,0.13826647,0.0668924,0.28828833,0.12305495
47_120416,0.15893584,0.12101965,0.059685767,0.34616742,0.10358106
472_120514,0.17849314,0.11658475,0.06418528,0.2532898,0.12456463
473_120514,0.16126458,0.113944314,0.03955389,0.34747633,0.096148014
474_120514,0.17659669,0.13122782,0.055831812,0.29365367,0.10670065
475_120514,0.1592809,0.113798104,0.07217642,0.1852942,0.19200735
476_120514,0.17718026,0.09628044,0.067627504,0.21574436,0.1540288
477_120514,0.17133504,0.11846145,0.057134025,0.33287007,0.09780928
478_120514,0.1956427,0.13581744,0.07224017,0.21832983,0.11734929
479_120514,0.17150049,0.11606412,0.07463552,0.2062481,0.15187098
480_120514,0.19877636,0.10999217,0.05588585,0.3207217,0.07743475
481_120514,0.1495057,0.14259076,0.06494864,0.27791423,0.1104699
482_120514,0.17982846,0.13048989,0.06558427,0.30428368,0.08701752
483_120515,0.16824317,0.10898475,0.03312973,0.3676448,0.10106536
484_120515,0.1457188,0.115655005,0.072736114,0.29217592,0.14946821
485_120515,0.1470395,0.13688037,0.08481049,0.30727133,0.11945494
486_120515,0.16849482,0.14736015,0.090710066,0.18873417,0.13317174
487_120515,0.15892616,0.12844858,0.06959678,0.29535124,0.086825654
488_120515,0.16128604,0.10391171,0.059181243,0.31094334,0.12928104
489_120515,0.17395768,0.12207612,0.057135593,0.3311751,0.090225756
491_120515,0.17276524,0.12319156,0.077949844,0.248717,0.14198226
492_120515,0.16608456,0.09823136,0.046007954,0.38750947,0.10631274
493_120515,0.1792172,0.113181934,0.06586831,0.26279956,0.12947041
494_120515,0.14286852,0.12740609,0.06214572,0.33640477,0.12739594
495_120515,0.16524205,0.11823289,0.051213257,0.34966034,0.09232565
496_120515,0.18305638,0.12036067,0.0532784,0.3197712,0.11216913
497_120515,0.17717461,0.1277346,0.05490523,0.26101094,0.12152235
498_120515,0.15229766,0.1287646,0.061421953,0.31896052,0.106807195
500_120515,0.20869231,0.12605493,0.058778845,0.19728413,0.14557657
501_120515,0.1811673,0.12712666,0.05846364,0.20168148,0.15027583
502_120515,0.16250256,0.09273094,0.04383649,0.36149082,0.09793079
505_120515,0.18966895,0.1203328,0.08974653,0.2370039,0.12487553
506_120515,0.16478094,0.14923349,0.08036688,0.228122,0.12421554
507_120515,0.21792917,0.11791305,0.06776118,0.23432903,0.13271245
508_120515,0.1487031,0.114901885,0.053999566,0.36675853,0.101985686
509_120515,0.20934646,0.10856229,0.06819977,0.24917135,0.11823423
510_120515,0.18739682,0.119335376,0.08572422,0.2775055,0.118756756
511_120515,0.16452608,0.13224958,0.06766696,0.29841632,0.11372219
51_120416,0.18243462,0.1090351,0.065372825,0.29492086,0.09230386
513_120515,0.173869,0.11518836,0.066872895,0.28402892,0.108420774
515_120515,0.1573742,0.114232376,0.074501075,0.30691305,0.10165708
516_120515,0.17979567,0.11455977,0.06468882,0.3112381,0.102158904
517_120515,0.20014118,0.117386274,0.06385727,0.28470892,0.105081424
520_120515,0.17505667,0.13244852,0.04301601,0.30815262,0.10843667
521_120515,0.20926085,0.14592046,0.06923631,0.16717136,0.15379065
52_120416,0.20096247,0.13663928,0.07858139,0.182163,0.14960027
522_120515,0.13479482,0.11559597,0.06295556,0.3759478,0.08776538
523_120515,0.20283279,0.099478506,0.06262864,0.23818378,0.13282494
524_120515,0.17922275,0.11767288,0.062422834,0.32037002,0.11271112
525_120515,0.19387996,0.1308122,0.04759992,0.3302196,0.090857804
526_120515,0.1863735,0.12436911,0.07315269,0.26412463,0.118069634
528_120515,0.17482977,0.10860258,0.048627697,0.3317849,0.10535452
530_120515,0.17362937,0.12750101,0.056924254,0.30088317,0.093893155
531_120516,0.16329004,0.12874645,0.07032256,0.23976716,0.15273872
53_120417,0.19147709,0.11022277,0.097620055,0.23249802,0.119154245
532_120516,0.18395403,0.12908918,0.07302067,0.2636991,0.13143367
533_120516,0.20043862,0.12481555,0.06635653,0.26046145,0.1024942
534_120516,0.20703137,0.098579764,0.07248713,0.2197491,0.14818811
535_120516,0.17917256,0.11885367,0.08098783,0.20277047,0.14145347
536_120516,0.18193197,0.13472766,0.066982895,0.30082622,0.09831712
537_120516,0.17549782,0.14437929,0.0889171,0.23756981,0.12758122
538_120516,0.17855613,0.13575613,0.08529847,0.19192699,0.13256302
539_120516,0.15208751,0.12526417,0.07456985,0.27092975,0.104791924
540_120516,0.16375971,0.1137269,0.08105227,0.29688007,0.121653005
541_120516,0.17671806,0.12131637,0.06440352,0.31187606,0.09027587
54_120417,0.17350483,0.114390895,0.07186955,0.30891326,0.08983904
542_120516,0.14530993,0.14971074,0.07031957,0.25395685,0.12339313
543_120516,0.15404034,0.12728155,0.06654337,0.28728434,0.123515114
544_120516,0.19135806,0.1279845,0.080948666,0.26065123,0.13456038
545_120516,0.15069276,0.13584304,0.07706849,0.25377926,0.14455393
547_120516,0.16195342,0.106392436,0.051486954,0.33714435,0.11153062
548_120516,0.17186451,0.1235021,0.06444226,0.26032388,0.11743331
549_120517,0.1812768,0.11862104,0.07167856,0.21377395,0.14764681
550_120517,0.17900348,0.120264016,0.07766519,0.26741862,0.13311577
551_120517,0.1746656,0.11146592,0.05507479,0.33142838,0.096773915
553_120517,0.19035584,0.12295886,0.075646795,0.20720121,0.15003493
554_120517,0.1624595,0.124372475,0.067980096,0.2893706,0.120021805
555_120517,0.21916203,0.11794128,0.06536184,0.22597787,0.13051313
556_120517,0.16787723,0.13391347,0.100932315,0.20003518,0.114777476
557_120517,0.1625216,0.10996334,0.06829879,0.31684244,0.118064664
559_120517,0.15666002,0.11151034,0.040528744,0.3679987,0.09944406
560_120517,0.19504492,0.12113532,0.0718562,0.29288238,0.119054995
561_120517,0.17430124,0.13590829,0.09513974,0.23653218,0.11735114
56_120417,0.16312382,0.12126273,0.06758039,0.26019046,0.12571397
562_120517,0.19966027,0.10895197,0.05970777,0.3013511,0.0883321
563_120517,0.16313994,0.13008733,0.060031753,0.30792043,0.115019545
564_120517,0.18891951,0.09589879,0.057734083,0.30562714,0.13391778
565_120517,0.17462146,0.103764355,0.06592064,0.33695647,0.09075956
567_120521,0.1860109,0.10960584,0.061269324,0.3077225,0.09463581
568_120521,0.18897307,0.12219903,0.06526903,0.21167779,0.14448266
569_120521,0.19019799,0.13996628,0.08928846,0.17997514,0.14717606
571_120521,0.17916636,0.11662477,0.07010041,0.26888436,0.116932705
57_120417,0.18167864,0.12065965,0.0702593,0.23565386,0.11625912
572_120521,0.19299793,0.11493325,0.087603986,0.23950571,0.15213017
573_120521,0.15362594,0.12792021,0.086744234,0.3110701,0.11563846
574_120521,0.17391895,0.13636896,0.07735904,0.29976386,0.11832561
575_120521,0.15833507,0.1150349,0.06446832,0.33953518,0.107281685
