,Bcells,CD4Tcells,CD8Tcells,Dendritics,Monocytes,NK,Type,Stage,donor,healthy,LMR,MLR,model,P-value,Correlation,RMSE
lnc_36,0.107635062720728,0.267875270667001,0.238309672957756,0.150987463552182,0.153099845524888,0.0820926845774442,serious,T,16,8,4.009279070407044,0.24942140031636023,CIBERSORTx,0.0,0.397066399863976,0.923330952885682
lnc_37,0.057231498954289,0.353030733346572,0.211937223602456,0.165703484131951,0.118589344784319,0.0935077151804132,serious,C,16,5,5.246672515434878,0.1905969921046451,CIBERSORTx,0.0,0.437875630671696,0.898984086902878
lnc_38,0.19245791356099,0.228695597633556,0.189353688362949,0.160311542762824,0.0795152785559007,0.149665979123781,serious,C,17,5,7.6778602885519325,0.13024462056063318,CIBERSORTx,0.0,0.516468311794254,0.862074196713314
lnc_39,0.0713501464451886,0.146790980255273,0.312836578814304,0.135865306045587,0.0493159922174723,0.283840996222174,serious,R,17,2,10.766846242761876,0.09287770786847266,CIBERSORTx,0.0,0.323774198158064,0.949649704542571
lnc_40,0.139150878948787,0.257856367561006,0.165230173686886,0.132794436282299,0.276467008628432,0.028501134892589,mild,T,5,6,2.033651042075399,0.49172644633244034,CIBERSORTx,0.0,0.376260973877915,0.982450514295521
lnc_41,0.18974684250904,0.270530182052698,0.200748163073685,0.151344121445838,0.110264791717485,0.0773658992012545,mild,C,5,3,5.994889006175871,0.1668087597568213,CIBERSORTx,0.0,0.477148635204251,0.879397805855605
lnc_44,0.264869401281867,0.0606961432588135,0.0736672391057815,0.113158944121273,0.419586036169803,0.0680222360624622,moderate,T,13,7,0.9514920641565292,1.0509809147872102,CIBERSORTx,0.0,0.459083287948467,1.0279107089232
lnc_45,0.266914338166961,0.295638115107708,0.156884248709904,0.130871888054908,0.149691409960519,0.0,moderate,C,13,4,4.806132176684847,0.20806751941844753,CIBERSORTx,0.0,0.581615426817813,0.816768946177301
lnc_46,0.267945860848585,0.180826033784112,0.234985980924952,0.151070840579685,0.0348086027913504,0.130362681071315,mild,T,1,6,19.643358845979193,0.050907790660490344,CIBERSORTx,0.0,0.497172474249162,0.874832981424044
lnc_47,0.164142677262726,0.253592425895959,0.137969179429002,0.210206312841367,0.178180502341721,0.0559089022292259,mild,C,1,3,3.1187715562836233,0.3206390663609923,CIBERSORTx,0.0,0.402590649177734,0.927036283963154
lnc_5,0.241640785269106,0.303685398751742,0.125329596629223,0.146888519961303,0.111758956029022,0.0706967433596036,moderate,C,8,4,6.000913076495745,0.1666413072898489,CIBERSORTx,0.0,0.372882196691574,0.931305184781879
lnc_6,0.319804790549141,0.222027113263205,0.0858986371494217,0.101025841623858,0.146880037527787,0.124363579886588,moderate,T,8,7,4.273763484319731,0.2339858075134388,CIBERSORTx,0.0,0.310868908786576,0.974457589743058
lnc_7,0.0961225066820039,0.340433874155417,0.21181104794203,0.164692399792024,0.140537836320988,0.0464023351075373,moderate,C,9,4,4.613472398269898,0.21675647184429042,CIBERSORTx,0.0,0.446301339246386,0.895288206351638
lnc_8,0.0820644094424544,0.372595282618992,0.166098276374912,0.139831914772164,0.173728968929596,0.0656811478618809,moderate,T,9,7,3.57314023251886,0.2798658700543239,CIBERSORTx,0.0,0.325677075270433,0.966334742375487
lnc_9,0.107957920708505,0.324789653222331,0.214160106049937,0.130983122672741,0.180766226171312,0.0413429711751744,moderate,R,9,1,3.5786977118596215,0.2794312569865991,CIBERSORTx,0.0,0.453639530483299,0.894950733218211
