,CellType,Method,DataType,Tissue,CCC,L1error
142,macrophage,MuSiC,umi2counts,Limb_Muscle,0.7732442117729611,0.06850571315155307
143,T cell,MuSiC,umi2counts,Limb_Muscle,,0.15221210360144194
144,hematopoietic precursor cell,MuSiC,counts2umi,Marrow,0.5565466311764888,0.11371522903117955
145,granulocyte,MuSiC,counts2umi,Marrow,0.8648931634364192,0.05359450107788821
146,immature B cell,MuSiC,counts2umi,Marrow,0.6442580885675279,0.06885727979355381
147,late pro-B cell,MuSiC,counts2umi,Marrow,0.8763168640796797,0.05350327269707534
148,monocyte,MuSiC,counts2umi,Marrow,0.6911469889137549,0.0719650605895602
149,macrophage,MuSiC,counts2umi,Marrow,0.7826370451250851,0.05776087602084894
150,basophil,MuSiC,counts2umi,Marrow,0.8429878804298598,0.047132555625757286
151,hematopoietic precursor cell,MuSiC,umi2counts,Marrow,0.003894925333635089,0.14360929731023936
152,granulocyte,MuSiC,umi2counts,Marrow,0.7442884735063418,0.06358888581447235
153,immature B cell,MuSiC,umi2counts,Marrow,0.029127294691228767,0.13187388347214324
154,late pro-B cell,MuSiC,umi2counts,Marrow,0.462263505563708,0.08783031896517375
155,monocyte,MuSiC,umi2counts,Marrow,0.36052717133082146,0.2310904215794432
156,macrophage,MuSiC,umi2counts,Marrow,0.30177326724859,0.1959258432003211
157,basophil,MuSiC,umi2counts,Marrow,0.8644239168104966,0.050591883882739025
158,lung endothelial cell,MuSiC,counts2umi,Lung,0.9032402878004704,0.030911484187598114
159,stromal cell,MuSiC,counts2umi,Lung,0.5971116870778383,0.06403979598748953
160,classical monocyte,MuSiC,counts2umi,Lung,0.75074735228785,0.04284257253789353
161,myeloid cell,MuSiC,counts2umi,Lung,0.754174814507075,0.07438682611980313
162,B cell,MuSiC,counts2umi,Lung,0.7771119420458117,0.05809757574641027
163,T cell,MuSiC,counts2umi,Lung,0.7137343915468362,0.05166574405238416
164,natural killer cell,MuSiC,counts2umi,Lung,0.5817069957529618,0.04831543256487802
165,leukocyte,MuSiC,counts2umi,Lung,0.5982497073577389,0.058968888664870066
166,ciliated columnar cell of tracheobronchial tree,MuSiC,counts2umi,Lung,0.9347853220021873,0.030948948744810176
167,lung endothelial cell,MuSiC,umi2counts,Lung,0.32342612323480385,0.19719927961070088
168,stromal cell,MuSiC,umi2counts,Lung,0.7592554603013362,0.0755714798794872
169,classical monocyte,MuSiC,umi2counts,Lung,0.5909430079089655,0.1051482291451377
170,myeloid cell,MuSiC,umi2counts,Lung,0.48802004623807954,0.0638742445215344
171,B cell,MuSiC,umi2counts,Lung,,0.1234990235215076
172,T cell,MuSiC,umi2counts,Lung,,0.1225437027414633
173,natural killer cell,MuSiC,umi2counts,Lung,0.8146390060074826,0.046923208578352166
174,leukocyte,MuSiC,umi2counts,Lung,0.8310493356673329,0.038330870034254574
175,ciliated columnar cell of tracheobronchial tree,MuSiC,umi2counts,Lung,0.6615291289997539,0.04726815561964081
176,B cell,TAPE,counts2umi,Limb_Muscle,0.6212743526877997,0.0831250521361712
177,T cell,TAPE,counts2umi,Limb_Muscle,0.7671570389460269,0.06372248898748112
178,endothelial cell,TAPE,counts2umi,Limb_Muscle,0.826823867380789,0.0528996035984747
179,macrophage,TAPE,counts2umi,Limb_Muscle,0.8032011959700563,0.05780156816798629
180,mesenchymal stem cell,TAPE,counts2umi,Limb_Muscle,0.6588450150742708,0.06121219046459757
181,skeletal muscle satellite cell,TAPE,counts2umi,Limb_Muscle,0.7848693495127242,0.056785009681623755
182,B cell,TAPE,umi2counts,Limb_Muscle,0.25654446144325554,0.15211969562098865
183,T cell,TAPE,umi2counts,Limb_Muscle,0.8230133723426132,0.04934687130444018
184,endothelial cell,TAPE,umi2counts,Limb_Muscle,0.7955022128970235,0.05864953224583891
185,macrophage,TAPE,umi2counts,Limb_Muscle,0.7254693715093633,0.09752229555302035
